subj	mode	order	scenario	concept	first	Yp	Yn	age	gender	race
  59	je	5	train		ml	pos	 6	7	18	Female	white
  60	se	1	driver		ml	neg	 4	4	21	Female	white
  60	se	2	construct	cc	neg	 7	7	21	Female	white
  60	se	3	linebacker	hs	neg	 6	6	21	Female	white
  60	se	4	train		ivd	pos	 7	7	21	Female	white
  60	se	5	fire		ident	pos	 7	7	21	Female	white
  61	je	2	driver		hs	neg	 7	7	28	Male	white
  61	je	3	linebacker	ident	neg	 7	3	28	Male	white
  61	je	4	train		ivd	neg	 7	7	28	Male	white
  61	je	1	construct	cc	pos	 2	2	28	Male	white
  61	je	5	fire		ml	pos	 1	1	28	Male	white
  62	je	2	driver		ivd	neg	 7	7	22	Male	white
  62	je	4	fire		hs	neg	 1	7	22	Male	white
  62	je	5	linebacker	ml	neg	 6	6	22	Male	white
  62	je	1	train		ident	pos	 3	2	22	Male	white
  62	je	3	construct	cc	pos	 6	6	22	Male	white
  63	je	1	linebacker	hs	neg	 2	6	47	Female	white
  63	je	4	fire		cc	neg	 1	1	47	Female	white
  63	je	2	driver		ml	pos	 2	2	47	Female	white
  63	je	3	train		ident	pos	 4	2	47	Female	white
  63	je	5	construct	ivd	pos	 7	7	47	Female	white
  64	se	1	construct	ident	neg	 6	5	24	Female	white
  64	se	3	train		ivd	neg	 6	5	24	Female	white
  64	se	4	driver		hs	neg	 6	7	24	Female	white
  64	se	2	fire		cc	pos	 2	3	24	Female	white
  64	se	5	linebacker	ml	pos	 1	1	24	Female	white
  65	je	1	construct	ivd	neg	 7	7	28	Female	white
  65	je	3	driver		cc	neg	 3	5	28	Female	white
  65	je	4	linebacker	ident	neg	 7	4	28	Female	white
  65	je	2	train		hs	pos	 7	7	28	Female	white
  65	je	5	fire		ml	pos	 4	4	28	Female	white
  66	je	3	linebacker	hs	neg	 5	7	27	Female	white
  66	je	1	driver		ivd	pos	 7	7	27	Female	white
  66	je	2	construct	ident	pos	 7	4	27	Female	white
  66	je	4	train		cc	pos	 1	1	27	Female	white
  66	je	5	fire		ml	pos	 2	2	27	Female	white
  67	se	1	construct	ml	neg	 4	5	29	Male	latino
  67	se	2	linebacker	cc	neg	 1	2	29	Male	latino
  67	se	3	train		hs	neg	 7	7	29	Male	latino
  67	se	4	fire		ivd	neg	 7	7	29	Male	latino
  67	se	5	driver		ident	neg	 7	1	29	Male	latino
  68	se	2	linebacker	ivd	neg	 5	7	28	Female	white
  68	se	5	driver		ident	neg	 7	5	28	Female	white
  68	se	1	fire		cc	pos	 2	5	28	Female	white
  68	se	3	train		hs	pos	 7	7	28	Female	white
  68	se	4	construct	ml	pos	 5	7	28	Female	white
  69	je	2	driver		ident	neg	 7	1	48	Male	white
  69	je	3	linebacker	ivd	neg	 3	6	48	Male	white
  69	je	4	fire		ml	neg	 4	4	48	Male	white
  69	je	5	construct	hs	neg	 6	7	48	Male	white
  69	je	1	train		cc	pos	 3	5	48	Male	white
  70	je	3	linebacker	ml	neg	 1	1	20	Male	asian.white
  70	je	4	driver		ident	neg	 7	4	20	Male	asian.white
  70	je	5	fire		ivd	neg	 7	4	20	Male	asian.white
  70	je	1	construct	hs	pos	 7	7	20	Male	asian.white
  70	je	2	train		cc	pos	 6	7	20	Male	asian.white
  71	je	2	train		ivd	neg	 4	2	22	Male	white
  71	je	5	fire		ident	neg	 4	4	22	Male	white
  71	je	1	construct	cc	pos	 6	6	22	Male	white
  71	je	3	driver		ml	pos	 1	4	22	Male	white
